date,photo_count,temp,min,max,precip
2021-07-22,4,26.7,26.0,29.0,0.0
2021-07-21,19,26.9,26.0,30.0,0.0
2021-07-20,22,27.2,26.0,30.0,0.0
2021-07-18,40,28.2,26.0,31.0,0.0
2021-07-17,36,28.3,27.0,31.0,7.5
2021-07-16,43,26.8,26.0,27.0,4.6
2021-07-15,25,25.7,25.0,28.0,0.0
2021-07-14,15,24.0,23.0,26.0,0.0
2021-07-13,36,26.3,23.0,34.0,10.9
2021-07-12,19,,,,
2021-07-11,19,28.8,24.0,34.0,0.0
2021-07-10,69,24.6,24.0,25.0,31.5
2021-07-09,24,24.4,24.0,25.0,14.5
2021-07-08,13,27.3,27.0,29.0,0.0
2021-07-07,35,25.2,24.0,27.0,2.8
2021-07-06,15,25.3,24.0,27.0,0.2
2021-07-05,30,,,,
2021-07-04,15,26.7,24.0,31.0,3.0
2021-07-03,35,,,,
2021-07-02,16,29.2,24.0,34.0,0.0
2021-06-30,12,25.0,24.0,28.0,2.3
2021-06-27,19,27.2,24.0,34.0,15.4
2021-06-26,26,29.2,25.0,36.0,0.0
2021-06-25,11,,,,
2021-06-24,15,,,,
2021-06-23,9,,,,
2021-06-22,8,26.4,26.0,28.0,0.0
2021-06-20,17,27.8,27.0,28.0,0.0
2021-06-19,24,27.5,25.0,31.0,0.0
2021-06-18,19,25.8,23.0,31.0,0.0
2021-06-16,2,23.3,22.0,24.0,9.3
